region,state,district,year,rainfall_mm,groundwater_level_m,water_extraction_mcm,water_recharge_mcm,population,water_demand_mld,water_supply_mld,scarcity_index
East,West Bengal,District_7,2023,1039.08,37.14,233.61,251.13,3112042,180.48,176.04,0.0245
West,Gujarat,District_63,2007,861.29,18.02,101.43,79.36,3225548,692.15,659.72,0.0468
Central,Madhya Pradesh,District_27,2021,737.35,10.8,148.23,136.25,1322371,58.38,49.03,0.1576
Central,Chhattisgarh,District_23,2018,752.95,21.19,73.53,25.63,1515942,185.09,156.2,0.1552
East,Jharkhand,District_9,2000,918.91,30.44,73.47,54.87,2601644,315.03,344.04,-0.0918
East,Bihar,District_56,2007,501.07,47.23,223.35,222.52,1480689,85.26,63.94,0.2471
North,Haryana,District_7,2017,613.97,25.77,69.97,27.23,2572489,409.68,416.3,-0.0161
West,Rajasthan,District_140,2013,854.71,26.96,218.55,233.76,2110505,378.89,338.42,0.1065
South,Karnataka,District_115,2018,961.22,46.25,85.66,99.98,1326736,282.61,249.27,0.1176
West,Gujarat,District_2,2005,1146.89,37.87,216.51,199.57,1782640,161.45,150.75,0.0659
East,Jharkhand,District_88,2008,990.74,5.58,346.2,314.42,2048643,190.17,219.12,-0.1514
Central,Madhya Pradesh,District_56,2010,792.18,11.54,266.29,233.08,2124818,113.31,116.43,-0.0273
East,West Bengal,District_24,2012,477.72,5.05,150.18,154.17,504570,73.89,83.28,-0.1255
East,West Bengal,District_92,2011,1207.9,28.94,171.05,123.31,1221914,216.21,204.11,0.0557
North,Himachal Pradesh,District_68,2001,889.97,27.09,183.99,211.95,2031716,155.04,117.86,0.2383
East,Assam,District_138,2003,1338.1,24.82,223.35,197.71,2847868,241.71,240.93,0.0032
South,Kerala,District_21,2017,679.01,5.7,144.03,161.13,58585,8.93,16.75,-0.7885
South,Andhra Pradesh,District_93,2018,1108.24,7.06,192.4,204.92,2138091,429.03,418.58,0.0243
West,Rajasthan,District_18,2001,703.43,12.94,183.86,148.42,1642880,155.84,173.5,-0.1125
South,Karnataka,District_75,2002,808.25,27.64,200.6,175.21,3026243,254.03,271.41,-0.0681
South,Karnataka,District_26,2012,984.37,21.38,78.82,88.51,3375011,287.96,280.67,0.0252
West,Gujarat,District_117,2020,491.62,16.44,142.6,169.65,828168,178.71,177.88,0.0046
South,Telangana,District_42,2011,877.58,32.45,257.4,244.93,2237809,486.54,498.38,-0.0243
South,Telangana,District_54,2021,832.41,34.26,280.87,291.86,2923926,539.65,534.38,0.0098
West,Gujarat,District_19,2019,887.29,41.19,291.52,309.46,1674066,123.17,150.11,-0.217
South,Tamil Nadu,District_137,2023,960.74,30.36,256.49,285.17,1622618,301.34,305.19,-0.0127
South,Karnataka,District_42,2014,1019.84,42.21,255.95,227.13,389705,80.45,44.65,0.4395
South,Kerala,District_70,2020,208.48,14.38,251.4,216.02,2219664,295.2,305.64,-0.0352
Central,Chhattisgarh,District_57,2021,1180.14,11.06,140.87,114.84,2703130,524.78,524.44,0.0006
East,Odisha,District_15,2007,942.68,44.61,306.77,261.92,806971,162.8,147.32,0.0945
West,Maharashtra,District_81,2012,948.95,35.21,249.07,261.13,1153848,49.91,42.87,0.1383
West,Gujarat,District_17,2006,559.28,10.58,166.28,136.74,1032026,163.44,150.82,0.0768
North,Uttarakhand,District_81,2006,831.29,14.73,130.76,82.92,2246660,286.7,248.75,0.1319
North,Punjab,District_102,2020,688.95,22.85,161.52,139.91,1433175,280.26,292.99,-0.0453
East,Assam,District_37,2008,1679.5,38.89,72.65,23.08,951093,201.35,162.74,0.1908
Central,Madhya Pradesh,District_64,2023,891.27,19.77,64.48,20.22,1946760,271.57,258.65,0.0474
Central,Chhattisgarh,District_138,2008,634.13,14.89,200.73,200.92,703105,146.6,124.4,0.1504
North,Uttarakhand,District_110,2018,732.87,29.36,88.18,68.98,3433965,359.04,369.98,-0.0304
South,Kerala,District_93,2007,612.86,42.74,99.62,72.91,382654,35.53,4.83,0.8405
Central,Madhya Pradesh,District_131,2015,568.75,40.89,311.45,268.39,2592913,106.14,89.04,0.1595
East,Bihar,District_13,2003,744.34,44.56,68.01,51.7,681326,109.67,115.06,-0.0487
Central,Madhya Pradesh,District_41,2021,864.23,9.44,344.73,307.62,242897,11.05,38.25,-2.2573
East,Jharkhand,District_17,2012,767.86,8.1,211.45,179.85,18051,3.86,-0.44,0.884
South,Kerala,District_120,2016,1204.91,42.42,116.37,113.46,1275386,197.35,172.89,0.1233
West,Gujarat,District_142,2000,904.24,17.5,290.6,298.94,2140403,372.28,383.46,-0.03
East,West Bengal,District_138,2008,1023.78,10.85,83.45,79.19,115235,13.09,30.09,-1.2066
East,Odisha,District_29,2009,767.02,28.36,267.23,244.42,2750988,426.1,417.34,0.0205
East,Jharkhand,District_41,2014,717.07,33.54,186.35,157.94,2852579,404.74,422.84,-0.0446
North,Uttar Pradesh,District_68,2016,804.97,6.41,87.31,92.39,93781,15.63,10.07,0.3345
South,Tamil Nadu,District_130,2003,671.72,6.7,202.57,194.69,1519544,187.88,169.15,0.0992
South,Andhra Pradesh,District_130,2019,809.17,2.73,330.7,320.61,1367695,216.87,234.65,-0.0816
West,Rajasthan,District_40,2011,1046.89,5.39,246.3,274.18,2855735,597.54,584.38,0.022
South,Tamil Nadu,District_139,2016,1344.08,24,218.23,172.91,1563098,293.36,274.5,0.0641
North,Uttar Pradesh,District_83,2015,553.41,11.92,139.45,152.28,1329093,57.52,80.44,-0.3916
North,Uttar Pradesh,District_29,2011,763.8,17.31,305.01,333.15,80953,7.04,-0.17,0.8962
South,Andhra Pradesh,District_62,2001,958.13,35.26,161.02,116.09,546831,94.23,63.96,0.3178
South,Karnataka,District_146,2002,667.88,38.03,293.98,244.74,2198151,138.45,149.7,-0.0807
East,Bihar,District_125,2002,743.15,29.87,311.46,296.51,1370531,160.65,134.34,0.1628
Central,Chhattisgarh,District_33,2004,785.78,45.32,206.52,170.41,3080173,288.23,310.73,-0.0778
North,Punjab,District_141,2005,973.25,4.57,337.98,300.21,1788832,174.37,133.11,0.2352
West,Gujarat,District_136,2019,927.16,32.33,190.05,196.59,2332336,325.75,339.79,-0.043
East,Jharkhand,District_55,2017,1066.64,47.42,286.58,307.5,1153356,148.78,174.46,-0.1715
West,Rajasthan,District_80,2012,314.8,44.61,161.77,182.4,1791203,293.48,260.71,0.1113
South,Telangana,District_113,2016,1395.72,43.61,303.16,299.07,2151233,239.64,202.75,0.1533
East,Assam,District_31,2007,912.42,13.19,228.58,189.53,2064365,384.6,343.56,0.1064
South,Karnataka,District_17,2010,570.68,49.33,278.48,278.38,2132022,270.13,271.78,-0.0061
North,Uttar Pradesh,District_142,2007,614.58,17.85,185.99,195.7,805141,40.37,61.45,-0.5098
North,Uttarakhand,District_57,2000,1132.95,7.64,248.27,218.59,1565284,129.53,129.51,0.0001
East,Bihar,District_16,2007,662.86,27.36,186.54,152.37,1568068,336.47,363.24,-0.0793
East,Bihar,District_9,2010,887.33,44.77,213.03,163.6,2396028,204.95,182.8,0.1076
East,Bihar,District_132,2007,703.49,49.8,262.11,261.37,3333230,160.6,169.52,-0.0552
West,Gujarat,District_125,2006,629.21,47.62,318.18,311.72,81203,8.15,25.43,-1.887
Central,Chhattisgarh,District_34,2023,561.45,13.01,137.12,138.29,806267,175.38,153.02,0.1268
North,Uttarakhand,District_148,2015,1344.96,27.73,149.76,114.66,705907,62.67,82.68,-0.3143
South,Karnataka,District_122,2013,1371.71,46.12,84,43.86,3479442,167.5,195.52,-0.1663
West,Rajasthan,District_25,2003,415.51,20.07,295.06,246.08,127816,13.78,-12.44,1.7739
East,Jharkhand,District_91,2013,1222.99,29.32,78.42,105.47,285846,25.5,51.27,-0.9725
East,Jharkhand,District_120,2023,795,43.51,295.74,245.76,2347517,479.76,465.88,0.0289
West,Maharashtra,District_26,2001,1158.76,20.14,129.91,143.51,2015896,426.82,411.36,0.0361
South,Kerala,District_87,2003,1127.6,12.97,254.79,235.34,3196915,282.48,310.82,-0.1
South,Karnataka,District_50,2006,0,41.91,149.26,113.94,875395,123.4,87.65,0.2874
Central,Chhattisgarh,District_115,2004,824.89,21.37,98.86,126.56,1107814,200.78,182.83,0.089
East,Jharkhand,District_47,2008,956.87,31.19,244.63,230.24,795722,161.33,165.21,-0.0239
East,Assam,District_64,2002,913.88,26.67,287.26,285.54,85390,11.46,-10.86,1.7911
East,Assam,District_141,2003,845.49,42.42,282.99,307.69,2335929,354.47,358.41,-0.0111
West,Maharashtra,District_139,2000,1297.51,12.04,228.1,230.77,676614,42.76,63.16,-0.4661
East,Bihar,District_61,2005,591.65,18.59,320.07,312.15,2444020,525.86,510.71,0.0287
East,Jharkhand,District_125,2015,1036.55,12.74,298.32,300.71,1100244,50.31,39.15,0.2174
West,Rajasthan,District_103,2001,299.16,44.92,97.34,100.93,1276466,60.09,30.14,0.4903
South,Tamil Nadu,District_98,2000,1043.62,32.14,83.71,43.82,1444551,73.66,82.9,-0.1237
South,Kerala,District_68,2014,1071.97,10.86,120.71,121.07,650605,53.68,26.68,0.4938
South,Andhra Pradesh,District_109,2022,1112.1,27.5,268.95,293.96,1209682,103.35,79.85,0.2252
Central,Chhattisgarh,District_125,2004,908.01,27.54,91.08,85.29,1693050,188.76,210.89,-0.1166
West,Rajasthan,District_76,2006,1171.21,37.4,112.86,97.75,2207614,123.75,113.6,0.0814
West,Maharashtra,District_149,2023,703.29,24.75,162.98,141.07,401193,22.32,12.04,0.4409
Central,Chhattisgarh,District_16,2023,565.89,30.17,276.18,271.64,2708714,293.03,297.72,-0.016
East,Odisha,District_15,2001,963.28,13.73,204.49,208.06,436240,36.08,58.44,-0.6032
North,Uttarakhand,District_123,2016,1135.13,9.34,131.33,148.47,202210,11.29,-19.15,2.4773
North,Haryana,District_41,2001,948.71,46.03,61.54,13.53,2224373,157.4,137.25,0.1272
North,Haryana,District_21,2005,1154.2,46.61,221.46,205.73,2945098,562.35,576.97,-0.026
East,Bihar,District_18,2021,1079.36,27.43,265.1,233.67,1630397,235.79,254.22,-0.0778
South,Karnataka,District_104,2003,671.86,25.09,214.45,240.31,2878793,350.55,339.4,0.0317
North,Uttarakhand,District_64,2018,507.94,34.86,85.48,104.38,3269600,578.2,563.53,0.0253
North,Himachal Pradesh,District_11,2019,964.31,24.64,179.43,181.52,622812,118.03,75.65,0.356
East,Bihar,District_108,2021,1003.92,47.04,112.56,137.24,1107501,53.89,25.27,0.5213
North,Uttarakhand,District_145,2016,730.88,41.74,277.65,243.68,888172,65.33,77.65,-0.1858
East,Odisha,District_67,2006,1107.86,17.18,230.61,205.97,3351007,398.92,400.65,-0.0043
East,Odisha,District_62,2008,968.17,24.21,147.4,117.59,3310374,476.52,479.87,-0.007
South,Kerala,District_34,2021,1092.31,5.2,126.42,112.99,1642781,164.13,139.33,0.1501
South,Andhra Pradesh,District_118,2010,244.91,35.3,108.35,68.06,1331128,181.06,144.02,0.2035
East,Bihar,District_3,2014,763.53,16.96,132.06,102.55,1429397,109.8,86.25,0.2126
North,Himachal Pradesh,District_145,2003,1013.07,25.71,278.84,300.61,1511972,90.59,57.1,0.3656
East,Bihar,District_138,2006,824.44,40.27,103.48,115.14,2475491,442.96,472.05,-0.0655
North,Haryana,District_68,2004,625.95,30.73,224,196.7,1718194,175.64,192.02,-0.0927
South,Telangana,District_18,2007,947.77,21.24,193.98,148.2,148515,30.32,49.88,-0.6248
South,Telangana,District_73,2005,1133.96,6.84,134.24,106.16,828738,172.2,159.81,0.0715
East,Assam,District_140,2022,1034.68,35.95,104.24,88.13,1173521,61.5,85.7,-0.3872
South,Andhra Pradesh,District_136,2000,962.69,7,303.73,260.87,3195288,192.94,149.08,0.2262
Central,Chhattisgarh,District_77,2021,1610.83,21.15,75.88,79.07,526411,95.7,80.42,0.158
East,West Bengal,District_35,2008,1046.71,7.48,180.21,141.12,481725,49.3,53.28,-0.0791
East,West Bengal,District_28,2023,805.98,12.78,191.21,209.94,2616623,376.73,394.31,-0.0466
Central,Chhattisgarh,District_40,2008,1367.33,3.63,150.33,117.89,1060482,163.11,192.13,-0.1768
South,Andhra Pradesh,District_54,2022,615.19,48.13,103.11,99.94,1684595,229.63,245.8,-0.0701
East,Odisha,District_53,2021,1044.67,16.38,149.88,148.1,148554,11.55,-25.8,2.9752
West,Gujarat,District_130,2015,739.37,3.75,196.9,181.71,1213097,112.73,89.18,0.2071
West,Gujarat,District_14,2002,746.88,27.33,214.99,206.51,315709,56.12,78.4,-0.39
East,Jharkhand,District_71,2001,741.04,38.16,138.97,97.17,922425,104.76,132.86,-0.2657
North,Uttar Pradesh,District_86,2004,837.97,9.5,267.63,244.92,3145176,438.15,449.11,-0.025
West,Gujarat,District_42,2023,907.16,30.56,158.39,142.83,3200714,504.09,516.23,-0.024
East,Assam,District_142,2022,504.96,6.77,130.52,102.74,993039,183.94,141.74,0.2282
East,Jharkhand,District_144,2000,425.89,6.17,243.64,214.77,2041580,91.41,107.81,-0.1774
East,West Bengal,District_20,2022,647.85,29.99,182.21,140.8,275910,42.06,46.87,-0.1117
Central,Madhya Pradesh,District_140,2001,771.62,3.64,300.89,303.27,1720215,239.74,237.03,0.0113
South,Telangana,District_150,2017,1204.79,16.13,335.05,303.96,2011055,121.8,109.36,0.1013
Central,Madhya Pradesh,District_111,2004,894.43,10.74,200.59,189.59,2059424,283.16,265.65,0.0616
West,Maharashtra,District_79,2011,993.42,14.38,100.41,63.62,131739,8.41,-29.14,3.9913
West,Maharashtra,District_92,2006,1208.85,41.48,213.6,178.4,203456,18.17,6.61,0.6031
South,Karnataka,District_27,2011,1222.4,33.27,300.63,314.11,1104385,72.01,82.23,-0.14
Central,Chhattisgarh,District_105,2019,1155.19,14.04,243.6,234.06,239137,48.93,47.52,0.0282
Central,Madhya Pradesh,District_61,2005,643.37,20.39,210.49,236.73,1164947,247.61,263.79,-0.065
South,Tamil Nadu,District_106,2000,941.22,5.28,302.75,297.78,2053435,347.91,355.63,-0.0221
